decision_id,episode_id,scenario_id,step_index,timestamp,region_id,robot_region,battery_soc,distance,estimated_move_time,estimated_energy,switch_cost,scene_weight,reachable,counterfactual_risk_gain
scenario_1_kitchen_pm_spike_ep00_d054,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,54,2026-08-01T09:27:00,A,B,89.68000000000009,4.0,8.88888888888889,0.6577777777777778,1.0,1.0,1,81.21920832406613
scenario_1_kitchen_pm_spike_ep00_d054,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,54,2026-08-01T09:27:00,B,B,89.68000000000009,0.0,0.0,0.0,0.0,1.0,1,69.14652264655228
scenario_1_kitchen_pm_spike_ep00_d054,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,54,2026-08-01T09:27:00,C,B,89.68000000000009,5.656854249492381,12.570787221094179,0.9302382543609693,1.0,1.0,1,471.8241072355828
scenario_1_kitchen_pm_spike_ep00_d054,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,54,2026-08-01T09:27:00,D,B,89.68000000000009,4.0,8.88888888888889,0.6577777777777778,1.0,1.0,1,73.36962066689262
scenario_1_kitchen_pm_spike_ep00_d057,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,57,2026-08-01T09:28:30,A,C,89.4400000000001,4.0,8.88888888888889,0.6577777777777778,1.0,1.0,1,82.09230441692102
scenario_1_kitchen_pm_spike_ep00_d057,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,57,2026-08-01T09:28:30,B,C,89.4400000000001,5.656854249492381,12.570787221094179,0.9302382543609693,1.0,1.0,1,70.7851956089728
scenario_1_kitchen_pm_spike_ep00_d057,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,57,2026-08-01T09:28:30,C,C,89.4400000000001,0.0,0.0,0.0,0.0,1.0,1,447.81418723122783
scenario_1_kitchen_pm_spike_ep00_d057,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,57,2026-08-01T09:28:30,D,C,89.4400000000001,4.0,8.88888888888889,0.6577777777777778,1.0,1.0,1,74.74521931552795
scenario_1_kitchen_pm_spike_ep00_d060,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,60,2026-08-01T09:30:00,A,A,89.2000000000001,0.0,0.0,0.0,0.0,1.0,1,82.73553530454728
scenario_1_kitchen_pm_spike_ep00_d060,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,60,2026-08-01T09:30:00,B,A,89.2000000000001,4.0,8.88888888888889,0.6577777777777778,1.0,1.0,1,72.14538038959017
